مشاع؟,نوع العقار,سعر المتر,المساحة,سعر العملية,نوع العملية,القطعة,المخطط,الحي,المدينة,المنطقة,التاريخ
كامل العقار,قطعة أرض,753.0,864.0,650000.0,صفقة,1485 / 2 / ل,244 / ج / س,الجزيرة,جدة,منطقة مكة المكرمة,2025-06-02
كامل العقار,قطعة أرض,2600.0,1493.0,3881046.0,صفقة,74,144 / ب المعدل,الياقوت,جدة,منطقة مكة المكرمة,2025-12-15
كامل العقار,شقة,2124.0,210.0,445251.0,صفقة,3 / 4,620220020823 / س المعدل2,الأمير عبد المجيد,جدة,منطقة مكة المكرمة,2025-09-24
كامل العقار,شقة,4159.0,159.0,660000.0,صفقة,2 / 2,منح / 3,العزيزية,جدة,منطقة مكة المكرمة,2025-09-22
كامل العقار,قطعة أرض,4000.0,575.0,2300000.0,صفقة,205,3 / 398 / ع,بني مالك,جدة,منطقة مكة المكرمة,2025-05-26
كامل العقار,قطعة أرض,7250.0,600.0,4350000.0,صفقة,590,32 / ب,السلامة,جدة,منطقة مكة المكرمة,2025-06-01
كامل العقار,شقة,3823.0,205.0,785000.0,صفقة,4 / 2,1720 / س / ت,مشرفة,جدة,منطقة مكة المكرمة,2025-11-20
كامل العقار,قطعة أرض,522.0,900.0,470000.0,صفقة,1267,602 / ج / س,الندى,جدة,منطقة مكة المكرمة,2025-12-18
كامل العقار,شقة,2476.0,193.0,477810.0,صفقة,1 / 5,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-08-07
كامل العقار,قطعة أرض,3500.0,642.0,2245635.0,صفقة,150,351 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-06-23
كامل العقار,شقة,4294.0,228.0,980000.0,صفقة,2 / 2,3 / 471 / ع,الربوه,جدة,منطقة مكة المكرمة,2025-08-17
كامل العقار,شقة,3215.0,117.0,375000.0,صفقة,1 / 3,3 / 534 / ع,النزهة,جدة,منطقة مكة المكرمة,2025-12-01
كامل العقار,قطعة أرض,3544.0,235.0,831282.0,صفقة,بدون,بدون,الثغر,جدة,منطقة مكة المكرمة,2026-01-21
كامل العقار,شقة,5841.0,146.0,850000.0,صفقة,1 / أ,17ب,النهضة,جدة,منطقة مكة المكرمة,2026-01-20
كامل العقار,شقة,2477.0,222.0,550000.0,صفقة,7,337 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-12-30
كامل العقار,شقة,3570.0,115.0,411390.0,صفقة,3 / أ,433 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-11-09
كامل العقار,شقة,3995.0,117.0,469000.0,صفقة,3 / 2,40 / ب,النعيم,جدة,منطقة مكة المكرمة,2025-07-15
كامل العقار,شقة,2705.0,233.0,629052.0,صفقة,1 / 2,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-10-21
كامل العقار,قطعة أرض,732.0,751.0,550000.0,صفقة,1962 / 2 / ز,244 / ج / س,جوهرة العروس,جدة,منطقة مكة المكرمة,2025-11-14
كامل العقار,شقة,1761.0,162.0,284570.0,صفقة,2 / 2,260 / ب,الريان,جدة,منطقة مكة المكرمة,2025-09-04
كامل العقار,شقة,5024.0,199.0,1000000.0,صفقة,1 / 3,124 / ب,الروضة,جدة,منطقة مكة المكرمة,2025-06-15
كامل العقار,قطعة أرض,6750.0,600.0,4050000.0,صفقة,2316,326 / ب,الحمدانية,جدة,منطقة مكة المكرمة,2025-11-23
كامل العقار,قطعة أرض,4700.0,1128.0,5300378.0,صفقة,50,351 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-11-23
كامل العقار,قطعة أرض,6154.0,650.0,4000000.0,صفقة,250,3 / 458 / ع,الشاطئ,جدة,منطقة مكة المكرمة,2025-09-14
كامل العقار,شقة,3999.0,135.0,540000.0,صفقة,1 / أ,3 / 534 / ع,النزهة,جدة,منطقة مكة المكرمة,2026-01-19
كامل العقار,شقة,4014.0,136.0,544000.0,صفقة,4 / 3,3 / 353 / ع,مشرفة,جدة,منطقة مكة المكرمة,2026-01-18
كامل العقار,قطعة أرض,900.0,2500.0,2250000.0,صفقة,37,1097 / س / ت,أبحر الشمالية,جدة,منطقة مكة المكرمة,2025-10-14
كامل العقار,شقة,3368.0,145.0,490000.0,صفقة,1 / أ,314 / ج / س,النخيل,جدة,منطقة مكة المكرمة,2025-10-07
كامل العقار,شقة,3922.0,339.0,1330000.0,صفقة,1 / 1,424 / ج / س,الصوارى,جدة,منطقة مكة المكرمة,2025-08-06
كامل العقار,شقة,3845.0,195.0,750000.0,صفقة,3 / 1,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-11-11
كامل العقار,قطعة أرض,1600.0,396.0,632800.0,صفقة,844,243 / ب,الياقوت,جدة,منطقة مكة المكرمة,2025-08-16
كامل العقار,شقة,3558.0,103.0,365000.0,صفقة,3 / 3,624 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-08-25
كامل العقار,شقة,3734.0,134.0,500000.0,صفقة,1 / 3,3 / 468 / ع,الزهراء,جدة,منطقة مكة المكرمة,2025-10-20
كامل العقار,قطعة أرض,1800.0,500.0,900000.0,صفقة,721 / ج,393 / ب,الفنار,جدة,منطقة مكة المكرمة,2025-07-03
كامل العقار,شقة,4515.0,184.0,830000.0,صفقة,2,444 / ج / س,الورود,جدة,منطقة مكة المكرمة,2025-07-16
كامل العقار,قطعة أرض,3314.0,96.0,317793.0,صفقة,بدون,بدون,النزلة اليمانية,جدة,منطقة مكة المكرمة,2025-08-14
كامل العقار,شقة,2464.0,132.0,325000.0,صفقة,3 / 3,3 / 471 / ع,الربوه,جدة,منطقة مكة المكرمة,2025-10-19
كامل العقار,شقة,3554.0,103.0,365000.0,صفقة,1 / 207,335 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-08-14
كامل العقار,قطعة أرض,887.0,620.0,550000.0,صفقة,2377 / 2 / ز,244 / ج / س,جوهرة العروس,جدة,منطقة مكة المكرمة,2025-07-14
كامل العقار,قطعة أرض,1282.0,780.0,1000000.0,صفقة,375 / ب,393 / ب / 1410,الفنار,جدة,منطقة مكة المكرمة,2025-06-24
كامل العقار,قطعة أرض,4009.0,19956.0,80000000.0,صفقة,50 / 4,370 / ج / س / المعدل,النخيل,جدة,منطقة مكة المكرمة,2025-10-19
كامل العقار,شقة,3040.0,150.0,455000.0,صفقة,4 / 1,586 / ج / س,حكومى,جدة,منطقة مكة المكرمة,2025-09-16
كامل العقار,قطعة أرض,2588.0,672.0,1738065.0,صفقة,بدون,بدون,النزلة اليمانية,جدة,منطقة مكة المكرمة,2026-01-11
كامل العقار,شقة,2786.0,129.0,360000.0,صفقة,1 / أ,363 / ج / س,أم السلم,جدة,منطقة مكة المكرمة,2025-12-21
كامل العقار,قطعة أرض,1700.0,285.0,483650.0,صفقة,282 / 6 الجزء ب / 1,621 / ج / س,الرياض,جدة,منطقة مكة المكرمة,2025-08-03
كامل العقار,قطعة أرض,2348.0,660.0,1550000.0,صفقة,296,189 / ج / س,اللؤلؤ,جدة,منطقة مكة المكرمة,2025-07-22
كامل العقار,شقة,3448.0,102.0,353000.0,صفقة,4 / 2,260 / ب,الريان,جدة,منطقة مكة المكرمة,2025-11-23
كامل العقار,شقة,809.0,185.0,150000.0,صفقة,4 / 1,258 / ج / س / المعدل,الأمير عبد المجيد,جدة,منطقة مكة المكرمة,2026-01-13
كامل العقار,شقة,4767.0,231.0,1100000.0,صفقة,2 / ح1,9 / ج / س / المعدل,الصفا,جدة,منطقة مكة المكرمة,2025-12-30
كامل العقار,قطعة أرض,1029.0,700.0,720000.0,صفقة,3411,1 / 28 / 5,بحرة طريق مكة جدة القديم,جدة,منطقة مكة المكرمة,2025-10-15
كامل العقار,شقة,4099.0,102.0,420000.0,صفقة,4 / 1,المنح رقم 9,الصفا,جدة,منطقة مكة المكرمة,2025-06-01
كامل العقار,شقة,3536.0,175.0,620000.0,صفقة,3 / 4,480 / ج / س / المعدل,الفيحاء,جدة,منطقة مكة المكرمة,2026-01-06
كامل العقار,شقة,5375.0,130.0,700000.0,صفقة,2 / 3,بدون,الروضة,جدة,منطقة مكة المكرمة,2025-07-02
كامل العقار,قطعة أرض,1111.0,900.0,1000000.0,صفقة,2474 / ج,169 / ج / س,الوفاء,جدة,منطقة مكة المكرمة,2025-09-28
كامل العقار,شقة,3280.0,137.0,450000.0,صفقة,3 / 2,377 / ج / س,الريان,جدة,منطقة مكة المكرمة,2025-11-06
كامل العقار,شقة,2456.0,208.0,511788.0,صفقة,3 / أ,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-12-07
كامل العقار,شقة,5124.0,162.0,830000.0,صفقة,1 / 2,3 / 167 / ع,الحمراء,جدة,منطقة مكة المكرمة,2025-10-12
كامل العقار,شقة,3390.0,133.0,450000.0,صفقة,3 / 3,586 / ج / س,حكومى,جدة,منطقة مكة المكرمة,2025-12-25
كامل العقار,شقة,3754.0,160.0,602116.0,صفقة,1 / ح1,416 / ج / س,الريان,جدة,منطقة مكة المكرمة,2025-09-01
كامل العقار,شقة,4028.0,288.0,1160000.0,صفقة,3 / 1,444 / ج / س / المعدل,الورود,جدة,منطقة مكة المكرمة,2025-08-12
كامل العقار,شقة,3192.0,219.0,700000.0,صفقة,8,337 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-11-06
كامل العقار,شقة,4374.0,114.0,499000.0,صفقة,1 / أ,3 / 73 / ع,الروضة,جدة,منطقة مكة المكرمة,2025-09-01
كامل العقار,شقة,3735.0,205.0,765000.0,صفقة,2 / ح1,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-12-12
كامل العقار,قطعة أرض,1576.0,625.0,985000.0,صفقة,307,245 / ب,الفلاح,جدة,منطقة مكة المكرمة,2025-07-23
كامل العقار,قطعة أرض,889.0,450.0,400000.0,صفقة,1320 / ج / 1,169 / ج / س,الوفاء,جدة,منطقة مكة المكرمة,2025-09-03
كامل العقار,شقة,3577.0,130.0,465000.0,صفقة,2 / 3,624 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-10-01
كامل العقار,شقة,5406.0,150.0,813000.0,صفقة,1 / 3,17ب,النهضة,جدة,منطقة مكة المكرمة,2025-06-04
كامل العقار,شقة,5994.0,83.0,500000.0,صفقة,10,426 / ب / المعدل,المروة,جدة,منطقة مكة المكرمة,2025-08-25
كامل العقار,قطعة أرض,3300.0,864.0,2851200.0,صفقة,144,394 / ب / 1403,اللؤلؤ,جدة,منطقة مكة المكرمة,2025-10-02
كامل العقار,قطعة أرض,654.0,887.0,580000.0,صفقة,189,662 / ج / س,المسرة,جدة,منطقة مكة المكرمة,2025-08-07
كامل العقار,قطعة أرض,5176.0,254.0,1316260.0,صفقة,131 / 2 / د,269 / ب,الرحمانية,جدة,منطقة مكة المكرمة,2025-10-19
كامل العقار,قطعة أرض,3000.0,708.0,2125050.0,صفقة,560,351 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-11-24
كامل العقار,قطعة أرض,5556.0,900.0,5000000.0,صفقة,74 / 11,82 / ب,الصفا,جدة,منطقة مكة المكرمة,2025-10-09
كامل العقار,قطعة أرض,4306.0,66.0,284124.0,صفقة,بدون,بدون,النزلة اليمانية,جدة,منطقة مكة المكرمة,2025-08-27
كامل العقار,قطعة أرض,1833.0,600.0,1100000.0,صفقة,231 / ج,269 / ب,الصالحية,جدة,منطقة مكة المكرمة,2025-12-29
كامل العقار,قطعة أرض,2452.0,315.0,772335.0,صفقة,بدون,بدون,بني مالك,جدة,منطقة مكة المكرمة,2025-12-17
كامل العقار,قطعة أرض,3000.0,629.0,1888080.0,صفقة,610,351 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-11-23
كامل العقار,شقة,1467.0,205.0,300000.0,صفقة,8,338 / ج / س,مدائن الفهد,جدة,منطقة مكة المكرمة,2025-06-18
كامل العقار,قطعة أرض,3500.0,400.0,1400000.0,صفقة,785,223 / ب,الأجواد,جدة,منطقة مكة المكرمة,2026-01-08
كامل العقار,قطعة أرض,1500.0,900.0,1350000.0,صفقة,400,100 / ج / س المعدل,البحيرات,جدة,منطقة مكة المكرمة,2025-10-06
كامل العقار,شقة,1618.0,176.0,284155.0,صفقة,3 / 1,434 / ج / س,ام حبلين الغربية,جدة,منطقة مكة المكرمة,2025-07-08
كامل العقار,شقة,2859.0,110.0,315000.0,صفقة,4 / أ,586 / ج / س,حكومى,جدة,منطقة مكة المكرمة,2025-09-22
كامل العقار,قطعة أرض,1111.0,900.0,1000000.0,صفقة,171 / أ,184 / ج / س,الرياض,جدة,منطقة مكة المكرمة,2025-11-02
كامل العقار,قطعة أرض,4476.0,782.0,3500000.0,صفقة,403,3 / 238 / ع,السلامة,جدة,منطقة مكة المكرمة,2025-10-23
كامل العقار,قطعة أرض,1056.0,900.0,950000.0,صفقة,562 / أ,184 / ج / س,الصفوة,جدة,منطقة مكة المكرمة,2025-09-10
كامل العقار,شقة,4477.0,156.0,700000.0,صفقة,1 / 3,3 / 471 / ع,الربوه,جدة,منطقة مكة المكرمة,2025-07-14
كامل العقار,شقة,3627.0,236.0,854575.0,صفقة,2 / 3,408 / ج / س,المروة,جدة,منطقة مكة المكرمة,2026-01-26
كامل العقار,شقة,3960.0,63.0,250000.0,صفقة,2 / أ,3 / 477 / ع,النزهة,جدة,منطقة مكة المكرمة,2026-01-01
كامل العقار,قطعة أرض,2600.0,811.0,2108314.0,صفقة,449,144 / ب المعدل,الياقوت,جدة,منطقة مكة المكرمة,2025-10-22
كامل العقار,شقة,3328.0,108.0,360000.0,صفقة,9,391 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-10-16
كامل العقار,شقة,4115.0,160.0,660000.0,صفقة,4 / 2,منح / 3,العزيزية,جدة,منطقة مكة المكرمة,2025-09-22
كامل العقار,قطعة أرض,5150.0,2496.0,12851825.0,صفقة,429,9 / 3 / 3 / ت,مشرفة,جدة,منطقة مكة المكرمة,2025-09-07
كامل العقار,شقة,3881.0,134.0,520000.0,صفقة,1 / 5,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-09-25
كامل العقار,شقة,3568.0,168.0,600000.0,صفقة,4,426 / ج / س,بني مالك,جدة,منطقة مكة المكرمة,2025-06-30
كامل العقار,شقة,2875.0,237.0,680000.0,صفقة,2 / ح1,433 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-08-20
كامل العقار,شقة,3563.0,196.0,700000.0,صفقة,2 / 2,3 / 267 / ع,العزيزية,جدة,منطقة مكة المكرمة,2025-08-07
كامل العقار,قطعة أرض,567.0,450.0,255000.0,صفقة,802 / 2,611 / ج / س,البيان,جدة,منطقة مكة المكرمة,2025-06-18
كامل العقار,قطعة أرض,5321.0,256.0,1364723.0,صفقة,بدون,بدون,مدائن الفهد,جدة,منطقة مكة المكرمة,2025-12-30
كامل العقار,قطعة أرض,889.0,900.0,800000.0,صفقة,376,127 / ج / س,المروج,جدة,منطقة مكة المكرمة,2026-02-11
كامل العقار,قطعة أرض,3314.0,510.0,1690260.0,صفقة,بدون,بدون,أم السلم,جدة,منطقة مكة المكرمة,2025-09-16
كامل العقار,شقة,3627.0,116.0,420000.0,صفقة,1 / 1,364 / ب / المعدل,الرغامة,جدة,منطقة مكة المكرمة,2025-05-27
كامل العقار,قطعة أرض,4800.0,313.0,1500000.0,صفقة,250 / ب / ط,272 / ب / 1402,الزمرد,جدة,منطقة مكة المكرمة,2025-07-20
كامل العقار,شقة,3146.0,105.0,329000.0,صفقة,4 / 3,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2026-01-03
كامل العقار,شقة,3867.0,194.0,750000.0,صفقة,1 / 3,3 / 468 / ع,الزهراء,جدة,منطقة مكة المكرمة,2025-08-26
كامل العقار,شقة,4276.0,134.0,575000.0,صفقة,2 / 2,3 / 11 / ت,الرحاب,جدة,منطقة مكة المكرمة,2025-09-11
كامل العقار,شقة,2974.0,168.0,500000.0,صفقة,3,426 / ج / س,بني مالك,جدة,منطقة مكة المكرمة,2025-07-11
كامل العقار,قطعة أرض,1400.0,1250.0,1750000.0,صفقة,52 / 2 / ج,99 / ج / س / المعدل,البحيرات,جدة,منطقة مكة المكرمة,2025-11-12
كامل العقار,قطعة أرض,8036.0,638.0,5126968.0,صفقة,3,15 / 101 / ب المعدل,السلامة,جدة,منطقة مكة المكرمة,2025-09-25
كامل العقار,شقة,5849.0,220.0,1285000.0,صفقة,4,335 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-10-13
كامل العقار,قطعة أرض,4800.0,324.0,1555200.0,صفقة,23 / 2 / 2,196 / ب,الاندلس,جدة,منطقة مكة المكرمة,2025-07-02
كامل العقار,شقة,5089.0,171.0,870000.0,صفقة,18 / 3,444 / ج / س / المعدل /2,الفيحاء,جدة,منطقة مكة المكرمة,2025-07-30
كامل العقار,شقة,1914.0,131.0,250000.0,صفقة,4,3 / 353 / ع,مشرفة,جدة,منطقة مكة المكرمة,2026-01-27
كامل العقار,شقة,7466.0,74.0,549000.0,صفقة,1 / ح1,433 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-07-14
كامل العقار,قطعة أرض,1854.0,630.0,1168000.0,صفقة,143,189 / ج / س,اللؤلؤ,جدة,منطقة مكة المكرمة,2025-09-30
كامل العقار,شقة,2260.0,177.0,400000.0,صفقة,2 / 1,3 / 127 / ع,مشرفة,جدة,منطقة مكة المكرمة,2026-03-03
كامل العقار,قطعة أرض,5000.0,600.0,3000000.0,صفقة,232,51 / ب,الزهراء,جدة,منطقة مكة المكرمة,2025-09-18
كامل العقار,شقة,4397.0,167.0,732400.0,صفقة,3 / 1,183 / ب / 1400,السليمانية,جدة,منطقة مكة المكرمة,2025-08-11
كامل العقار,شقة,2844.0,105.0,300000.0,صفقة,2 / 2,260 / ب,الريان,جدة,منطقة مكة المكرمة,2025-08-06
كامل العقار,قطعة أرض,7651.0,94.0,715344.0,صفقة,بدون,بدون,الثغر,جدة,منطقة مكة المكرمة,2025-12-14
كامل العقار,شقة,3566.0,201.0,718000.0,صفقة,2 / أ,434 / ج / س,ام حبلين الغربية,جدة,منطقة مكة المكرمة,2025-06-01
كامل العقار,قطعة أرض,2500.0,400.0,1000000.0,صفقة,18 / 6 / د,101 / ب / 1400,القرينية,جدة,منطقة مكة المكرمة,2025-10-16
كامل العقار,قطعة أرض,3018.0,400.0,1207000.0,صفقة,195,223 / ب,الأجواد,جدة,منطقة مكة المكرمة,2025-07-17
كامل العقار,شقة,3161.0,136.0,430000.0,صفقة,2 / أ,456 / ج / س,الرغامة,جدة,منطقة مكة المكرمة,2025-06-19
كامل العقار,قطعة أرض,1428.0,660.0,942315.0,صفقة,1113,209 / ب,الياقوت,جدة,منطقة مكة المكرمة,2025-08-14
كامل العقار,قطعة أرض,8052.0,139.0,1117670.0,صفقة,بدون,بدون,الهنداوية,جدة,منطقة مكة المكرمة,2025-06-25
كامل العقار,قطعة أرض,1000.0,900.0,900000.0,صفقة,784 / ج,169 / ج / س,الوفاء,جدة,منطقة مكة المكرمة,2025-09-17
كامل العقار,قطعة أرض,1188.0,396.0,470000.0,صفقة,1583 / 1 / ب / 3 / 2,541 / ج / س,الصفوة,جدة,منطقة مكة المكرمة,2025-12-08
كامل العقار,قطعة أرض,667.0,600.0,400000.0,صفقة,71,383 / ب,الساحل,جدة,منطقة مكة المكرمة,2025-11-30
كامل العقار,شقة,4142.0,104.0,432700.0,صفقة,2 / 4,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-11-18
كامل العقار,شقة,4287.0,120.0,515000.0,صفقة,3 / 3,1668 / س / ت,مشرفة,جدة,منطقة مكة المكرمة,2025-11-12
كامل العقار,شقة,5101.0,137.0,700000.0,صفقة,1 / ح1,3 / 367 / ع,الروضة,جدة,منطقة مكة المكرمة,2025-09-24
كامل العقار,شقة,3377.0,127.0,428900.0,صفقة,10,704 / س / ت,الرغامة,جدة,منطقة مكة المكرمة,2025-11-18
كامل العقار,قطعة أرض,1788.0,319.0,570000.0,صفقة,984 / 10 / 3 / ج,99 / ج / س / المعدل,البحيرات,جدة,منطقة مكة المكرمة,2025-05-27
كامل العقار,قطعة أرض,3150.0,659.0,2076858.0,صفقة,538,351 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-11-23
كامل العقار,شقة,3822.0,164.0,627000.0,صفقة,3 / 2,3 / 471 / ع,الربوه,جدة,منطقة مكة المكرمة,2025-12-22
كامل العقار,شقة,5477.0,232.0,1270000.0,صفقة,2 / 3,17ب,النهضة,جدة,منطقة مكة المكرمة,2025-11-27
كامل العقار,قطعة أرض,2740.0,657.0,1800000.0,صفقة,625,132 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-08-02
كامل العقار,قطعة أرض,1215.0,412.0,500000.0,صفقة,188 / 2 / أ,541 / ج / س,الصفوة,جدة,منطقة مكة المكرمة,2025-07-21
كامل العقار,قطعة أرض,1625.0,600.0,975000.0,صفقة,26 / ب,290 / ب / 1402,الرحمانية,جدة,منطقة مكة المكرمة,2025-08-31
كامل العقار,شقة,2839.0,256.0,725458.0,صفقة,2 / 2,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-12-10
كامل العقار,قطعة أرض,2400.0,313.0,750000.0,صفقة,234 / أ / أ,245 / ب,الفلاح,جدة,منطقة مكة المكرمة,2025-08-24
كامل العقار,قطعة أرض,2600.0,839.0,2181088.0,صفقة,552,144 / ب المعدل,الياقوت,جدة,منطقة مكة المكرمة,2026-01-04
كامل العقار,شقة,4118.0,134.0,550000.0,صفقة,1 / 3,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-07-19
كامل العقار,شقة,2427.0,140.0,340000.0,صفقة,2 / 2,260 / ب,الريان,جدة,منطقة مكة المكرمة,2025-10-13
كامل العقار,شقة,3105.0,188.0,585000.0,صفقة,3 / 7,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-09-27
كامل العقار,شقة,3146.0,100.0,314000.0,صفقة,4 / 3,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-07-09
كامل العقار,شقة,3696.0,108.0,400000.0,صفقة,3 / 3,منح / 6,الرحاب,جدة,منطقة مكة المكرمة,2025-11-24
كامل العقار,قطعة أرض,5361.0,205.0,1099642.0,صفقة,بدون,بدون,الفيصلية,جدة,منطقة مكة المكرمة,2025-11-03
كامل العقار,قطعة أرض,4593.0,338.0,1550000.0,صفقة,1535 / ب,298 / ب,البساتين,جدة,منطقة مكة المكرمة,2025-10-20
كامل العقار,شقة,2408.0,266.0,640797.0,صفقة,1 / 5,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-08-07
كامل العقار,شقة,3828.0,113.0,434093.0,صفقة,3 / 3,364 / ب / المعدل,الرغامة,جدة,منطقة مكة المكرمة,2026-02-10
كامل العقار,شقة,4258.0,194.0,825000.0,صفقة,1 / 3,480 / ج / س / المعدل,الفيحاء,جدة,منطقة مكة المكرمة,2025-09-29
كامل العقار,قطعة أرض,2333.0,750.0,1750000.0,صفقة,374 / 1,434 / ج / س,ام حبلين الغربية,جدة,منطقة مكة المكرمة,2025-12-07
كامل العقار,قطعة أرض,4154.0,325.0,1350000.0,صفقة,209 / أ / هـ,3 / 471 / ع,الربوه,جدة,منطقة مكة المكرمة,2026-01-25
كامل العقار,قطعة أرض,3304.0,575.0,1900000.0,صفقة,324,402 / ب,الجوهرة,جدة,منطقة مكة المكرمة,2025-09-09
كامل العقار,قطعة أرض,3788.0,660.0,2500000.0,صفقة,829,51 / ب,الزهراء,جدة,منطقة مكة المكرمة,2025-08-26
كامل العقار,شقة,3482.0,161.0,560000.0,صفقة,4 / 3,258 / ج / س / المعدل,الأمير عبد المجيد,جدة,منطقة مكة المكرمة,2025-08-13
كامل العقار,قطعة أرض,2176.0,313.0,680000.0,صفقة,695 / أ,167 / ب,الياقوت,جدة,منطقة مكة المكرمة,2025-10-01
كامل العقار,شقة,2917.0,132.0,385000.0,صفقة,2 / أ,260 / ب,الريان,جدة,منطقة مكة المكرمة,2025-11-19
كامل العقار,قطعة أرض,7121.0,330.0,2350000.0,صفقة,506 / 1,438 / ب / المعدل,الشراع,جدة,منطقة مكة المكرمة,2025-09-08
كامل العقار,شقة,4913.0,204.0,1000000.0,صفقة,9 / 1,444 / ج / س / المعدل,الورود,جدة,منطقة مكة المكرمة,2025-12-31
كامل العقار,قطعة أرض,5000.0,500.0,2500000.0,صفقة,635 / أ,6 / ج / س,النور,جدة,منطقة مكة المكرمة,2025-11-19
كامل العقار,قطعة أرض,5000.0,400.0,2000000.0,صفقة,177 / م ك ر ر,5 / 12 / 3 / ت,العزيزية,جدة,منطقة مكة المكرمة,2025-11-14
كامل العقار,شقة,5315.0,164.0,870000.0,صفقة,1 / أ,170 / ب,الياقوت,جدة,منطقة مكة المكرمة,2025-08-28
كامل العقار,قطعة أرض,2984.0,165.0,490882.0,صفقة,بدون,بدون,السبيل,جدة,منطقة مكة المكرمة,2025-12-01
كامل العقار,شقة,3280.0,137.0,450000.0,صفقة,4 / 2,377 / ج / س,الريان,جدة,منطقة مكة المكرمة,2025-11-06
كامل العقار,شقة,3957.0,164.0,650000.0,صفقة,2 / ح1,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-08-28
كامل العقار,قطعة أرض,1376.0,313.0,430000.0,صفقة,224 / 1,651 / ج / س المعدل,الازدهار,جدة,منطقة مكة المكرمة,2025-09-28
كامل العقار,شقة,1288.0,198.0,255088.0,صفقة,2,395 / ج / س,السامر,جدة,منطقة مكة المكرمة,2025-12-07
كامل العقار,شقة,2331.0,145.0,339000.0,صفقة,2 / ح1,421 / ج / س,أم حبلين,جدة,منطقة مكة المكرمة,2025-10-27
كامل العقار,شقة,3086.0,81.0,250000.0,صفقة,12,3 / 398 / ع,بني مالك,جدة,منطقة مكة المكرمة,2025-08-27
كامل العقار,قطعة أرض,839.0,310.0,260000.0,صفقة,749 / 2 / 2ك,244 / ج / س,الجزيرة,جدة,منطقة مكة المكرمة,2026-03-01
كامل العقار,شقة,2707.0,103.0,280000.0,صفقة,12,433 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2026-02-01
كامل العقار,شقة,3502.0,188.0,660000.0,صفقة,2 / 1,624 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-10-08
كامل العقار,شقة,3681.0,109.0,400000.0,صفقة,4 / أ,منح / 6,الرحاب,جدة,منطقة مكة المكرمة,2025-11-19
كامل العقار,قطعة أرض,889.0,900.0,800000.0,صفقة,1440,3 / ج / س,المروج,جدة,منطقة مكة المكرمة,2025-09-24
كامل العقار,شقة,5174.0,153.0,790000.0,صفقة,3 / أ,3 / 63 / ع,السلامة,جدة,منطقة مكة المكرمة,2025-09-15
كامل العقار,شقة,5347.0,275.0,1470000.0,صفقة,4 / ح1,480 / ج / س / المعدل,الفيحاء,جدة,منطقة مكة المكرمة,2026-02-28
كامل العقار,شقة,5499.0,167.0,920000.0,صفقة,1 / 2,7 / ج / س,الروضة,جدة,منطقة مكة المكرمة,2026-02-19
كامل العقار,شقة,2956.0,127.0,375000.0,صفقة,3 / أ,433 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-08-30
كامل العقار,شقة,3415.0,137.0,467000.0,صفقة,4 / أ,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2026-01-13
كامل العقار,قطعة أرض,3207.0,94.0,301320.0,صفقة,بدون,بدون,المنتزهات,جدة,منطقة مكة المكرمة,2025-10-12
كامل العقار,قطعة أرض,2600.0,750.0,1950000.0,صفقة,543,144 / ب المعدل,الياقوت,جدة,منطقة مكة المكرمة,2026-01-25
